prompt,target
"turn right, turn left, walk towards the small desk on the left side [x=-5.89; y=-13.07; yaw=-3.427] the small desk on the left side","{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'turn right ', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'right'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'turn'}}, 'children': [{'name': 'TaMoveRobot', 'id': 1}]}, {'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'turn left', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}], 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk towards the small desk on the left side', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the small desk on the left side'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk towards'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -5.89}, 'y': {'pvf_type': 'number', 'pvf_value': -13.07}, 'yaw': {'pvf_type': 'number', 'pvf_value': -3.427}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 1, 'required': True}]}]}"
Turn left and face the green dresser with the clock on it. [x=-11.743; y=-14.934; yaw=1.064] green dresser with the clock on it,"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'face the green dresser with the clock on it.', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'landmark': {'pvf_type': 'string', 'pvf_example': 'green dresser with the clock on it'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'face'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -11.743}, 'y': {'pvf_type': 'number', 'pvf_value': -14.934}, 'yaw': {'pvf_type': 'number', 'pvf_value': 1.064}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
Walk a step the the left and face the front of the desk. [x=-5.974; y=3.803; yaw=1.017],"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Walk a step the the left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'step'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'face the front of the desk', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'verb': {'pvf_type': 'string', 'pvf_example': 'face'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -5.974}, 'y': {'pvf_type': 'number', 'pvf_value': 3.803}, 'yaw': {'pvf_type': 'number', 'pvf_value': 1.017}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
Turn right and walk to the wall then turn left and walk to the table. [x=-9.15; y=4.316; yaw=2.168] the wall [x=1.26; y=7.61; yaw=-0.214] the table,"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn right', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'right'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'turn left', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 1}], 'parents': [{'name': 'TaNavigateRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk to the wall', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the wall'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -9.15}, 'y': {'pvf_type': 'number', 'pvf_value': 4.316}, 'yaw': {'pvf_type': 'number', 'pvf_value': 2.168}}}, 'children': [{'name': 'TaMoveRobot', 'id': 1}], 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk to the table', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the table'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 1.26}, 'y': {'pvf_type': 'number', 'pvf_value': 7.61}, 'yaw': {'pvf_type': 'number', 'pvf_value': -0.214}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 1, 'required': True}]}]}"
walk to face the night stand on the right of the bed [x=0.248; y=3.472; yaw=1.234],"{'umrf_actions': [{'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'verb': {'pvf_type': 'string', 'pvf_example': 'walk'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 0.248}, 'y': {'pvf_type': 'number', 'pvf_value': 3.472}, 'yaw': {'pvf_type': 'number', 'pvf_value': 1.234}}}}]}"
Turn left and walk straight ahead to the alarm clock. [x=-3.264; y=-7.07; yaw=-1.57] the alarm clock,"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk straight ahead to the alarm clock.', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the alarm clock'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk straight ahead'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -3.264}, 'y': {'pvf_type': 'number', 'pvf_value': -7.07}, 'yaw': {'pvf_type': 'number', 'pvf_value': -1.57}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
Turn left and approach the left side of the same desk [x=-9.074; y=-1.89; yaw=2.97] the left side of the same desk,"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'approach the left side of the same desk', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the left side of the same desk'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'approach'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -9.074}, 'y': {'pvf_type': 'number', 'pvf_value': -1.89}, 'yaw': {'pvf_type': 'number', 'pvf_value': 2.97}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
Turn left and walk to the wooden table. [x=1.28; y=-9.73; yaw=2.764] the wooden table,"{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn left', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk to the wooden table.', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the wooden table'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk to'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 1.28}, 'y': {'pvf_type': 'number', 'pvf_value': -9.73}, 'yaw': {'pvf_type': 'number', 'pvf_value': 2.764}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
"turn right, walk to the dresser [x=9.034; y=8.214; yaw=0.022] the dresser","{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'turn right', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'right'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk to the dresser', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the dresser'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk to'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': 9.034}, 'y': {'pvf_type': 'number', 'pvf_value': 8.214}, 'yaw': {'pvf_type': 'number', 'pvf_value': 0.022}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}]}"
"Turn around and walk halfway across the room, then turn to the left and walk to the table to the right of the bed.  [x=-5.07; y=-3.99; yaw=2.975] the room [x=-7.5; y=2.07; yaw=5.197] the table to the right of the bed","{'umrf_actions': [{'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'Turn around', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'around'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'Turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 0}]}, {'name': 'TaMoveRobot', 'package_name': 'ta_move_robot', 'description': 'turn to the left', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'direction': {'pvf_type': 'string', 'pvf_example': 'left'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'turn'}}, 'children': [{'name': 'TaNavigateRobot', 'id': 1}], 'parents': [{'name': 'TaNavigateRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk halfway across the room', 'id': 0, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the room'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk across'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -5.07}, 'y': {'pvf_type': 'number', 'pvf_value': -3.99}, 'yaw': {'pvf_type': 'number', 'pvf_value': 2.975}}}, 'children': [{'name': 'TaMoveRobot', 'id': 1}], 'parents': [{'name': 'TaMoveRobot', 'id': 0, 'required': True}]}, {'name': 'TaNavigateRobot', 'package_name': 'ta_navigate_robot', 'description': 'walk to the table to the right of the bed. ', 'id': 1, 'effect': 'synchronous', 'input_parameters': {'location': {'pvf_type': 'string', 'pvf_example': 'the table to the right of the bed'}, 'verb': {'pvf_type': 'string', 'pvf_example': 'walk to'}, 'pose_2d': {'x': {'pvf_type': 'number', 'pvf_value': -7.5}, 'y': {'pvf_type': 'number', 'pvf_value': 2.07}, 'yaw': {'pvf_type': 'number', 'pvf_value': 5.197}}}, 'parents': [{'name': 'TaMoveRobot', 'id': 1, 'required': True}]}]}"
