file_name,nl_instruction,n_words_in_n_nl_instruction,action_type,graph,n_graph_nodes,n_graph_levels,human_rated_difficulty,sequential,hierarchical,cyclical
umrf_graph_0.umrfg.json,"turn right, turn left, walk towards the small desk on the left side",13,motion,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaManouevre"",
            ""package_name"": ""ta_manouevre"",
            ""description"": ""turn right "",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""direction"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""right""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""turn""
                }
            },
            ""children"": [
                {
                    ""name"": ""TaManouevre"",
                    ""id"": 1
                }
            ]
        },
        {
            ""name"": ""TaManouevre"",
            ""package_name"": ""ta_manouevre"",
            ""description"": ""turn left"",
            ""id"": 1,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""direction"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""left""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""turn""
                }
            },
            ""children"": [
                {
                    ""name"": ""TaNavigation"",
                    ""id"": 0
                }
            ],
            ""parents"": [
                {
                    ""name"": ""TaManouevre"",
                    ""id"": 0,
                    ""required"": true
                }
            ]
        },
        {
            ""name"": ""TaNavigation"",
            ""package_name"": ""ta_navigation"",
            ""description"": ""walk towards the small desk on the left side"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""location"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""the small desk on the left side""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""walk towards""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -6.82
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -93.07
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -3.437
                    }
                }
            },
            ""parents"": [
                {
                    ""name"": ""TaManouevre"",
                    ""id"": 1,
                    ""required"": true
                }
            ]
        }
    ]
}",3,3,easy,1,0,0
umrf_graph_10.umrfg.json,turn left and face the green dresser with the clock on it.,12,motion,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaMoveRobot"",
            ""package_name"": ""ta_move_robot"",
            ""description"": ""Turn left"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""direction"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""left""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""Turn""
                }
            },
            ""children"": [
                {
                    ""name"": ""TaNavigateRobot"",
                    ""id"": 0
                }
            ]
        },
        {
            ""name"": ""TaNavigateRobot"",
            ""package_name"": ""ta_navigate_robot"",
            ""description"": ""face the green dresser with the clock on it."",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""landmark"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""green dresser with the clock on it""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""face""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -11.743
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -14.934
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 1.064
                    }
                }
            },
            ""parents"": [
                {
                    ""name"": ""TaMoveRobot"",
                    ""id"": 0,
                    ""required"": true
                }
            ]
        }
    ]
}",2,2,easy,1,0,0
umrf_graph_13.umrfg.json,place a clock on a desk,6,object_manipulation,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaPlace"",
            ""package_name"": ""ta_place"",
            ""description"": ""Place a clock on a desk"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""locale"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""on a desk""
                },
                ""object"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""clock""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""Place""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -35.89
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -4.04
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -3.443
                    }
                }
            }
        }
    ]
}",1,1,easy,1,0,0
umrf_graph_14.umrfg.json,walk a step the the left and face the front of the desk.,13,motion,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaMoveRobot"",
            ""package_name"": ""ta_move_robot"",
            ""description"": ""Walk a step the the left"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""direction"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""left""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""step""
                }
            },
            ""children"": [
                {
                    ""name"": ""TaNavigateRobot"",
                    ""id"": 0
                }
            ]
        },
        {
            ""name"": ""TaNavigateRobot"",
            ""package_name"": ""ta_navigate_robot"",
            ""description"": ""face the front of the desk"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""face""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -5.974
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 3.803
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 1.017
                    }
                }
            },
            ""parents"": [
                {
                    ""name"": ""TaMoveRobot"",
                    ""id"": 0,
                    ""required"": true
                }
            ]
        }
    ]
}",2,2,easy,1,0,0
umrf_graph_15.umrfg.json,turn right and walk to the wall then turn left and walk to the table.,15,motion,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaMoveRobot"",
            ""package_name"": ""ta_move_robot"",
            ""description"": ""Turn right"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""direction"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""right""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""Turn""
                }
            },
            ""children"": [
                {
                    ""name"": ""TaNavigateRobot"",
                    ""id"": 0
                }
            ]
        },
        {
            ""name"": ""TaMoveRobot"",
            ""package_name"": ""ta_move_robot"",
            ""description"": ""turn left"",
            ""id"": 1,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""direction"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""left""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""turn""
                }
            },
            ""children"": [
                {
                    ""name"": ""TaNavigateRobot"",
                    ""id"": 1
                }
            ],
            ""parents"": [
                {
                    ""name"": ""TaNavigateRobot"",
                    ""id"": 0,
                    ""required"": true
                }
            ]
        },
        {
            ""name"": ""TaNavigateRobot"",
            ""package_name"": ""ta_navigate_robot"",
            ""description"": ""walk to the wall"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""location"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""the wall""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""walk""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -9.15
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 4.316
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 2.168
                    }
                }
            },
            ""children"": [
                {
                    ""name"": ""TaMoveRobot"",
                    ""id"": 1
                }
            ],
            ""parents"": [
                {
                    ""name"": ""TaMoveRobot"",
                    ""id"": 0,
                    ""required"": true
                }
            ]
        },
        {
            ""name"": ""TaNavigateRobot"",
            ""package_name"": ""ta_navigate_robot"",
            ""description"": ""walk to the table"",
            ""id"": 1,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""location"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""the table""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""walk""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 1.26
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 7.61
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -0.214
                    }
                }
            },
            ""parents"": [
                {
                    ""name"": ""TaMoveRobot"",
                    ""id"": 1,
                    ""required"": true
                }
            ]
        }
    ]
}",4,4,easy,1,0,0
umrf_graph_18.umrfg.json,take an alarm clock to move it to the desk.,10,object_manipulation,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaPickup"",
            ""package_name"": ""ta_pickup"",
            ""description"": ""Take an alarm clock"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""object"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""alarm clock""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""Take""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -7.43
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -8.92
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -1.65
                    }
                }
            },
            ""children"": [
                {
                    ""name"": ""TaTransport"",
                    ""id"": 0
                }
            ]
        },
        {
            ""name"": ""TaTransport"",
            ""package_name"": ""ta_transport"",
            ""description"": ""move it to the desk"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""location"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""the desk""
                },
                ""object"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""it""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""move""
                }
            },
            ""parents"": [
                {
                    ""name"": ""TaPickup"",
                    ""id"": 0,
                    ""required"": true
                }
            ]
        }
    ]
}",2,2,easy,1,0,0
umrf_graph_19.umrfg.json,"with the alarm clock, turn around and walk straight to the desk against the wall.",15,motion,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaManouevre"",
            ""package_name"": ""ta_manouevre"",
            ""description"": ""turn around"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""direction"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""around""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""turn""
                }
            },
            ""children"": [
                {
                    ""name"": ""TaTransport"",
                    ""id"": 0
                }
            ]
        },
        {
            ""name"": ""TaTransport"",
            ""package_name"": ""ta_transport"",
            ""description"": ""walk straight to the desk against the wall."",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""location"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""the desk against the wall""
                },
                ""object"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""alarm clock""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""walk straight""
                }
            },
            ""parents"": [
                {
                    ""name"": ""TaManouevre"",
                    ""id"": 0,
                    ""required"": true
                }
            ]
        }
    ]
}",2,2,easy,1,0,0
umrf_graph_2.umrfg.json,pick up an alarm clock that is on the desk,10,object_manipulation,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaPickup"",
            ""package_name"": ""ta_pickup"",
            ""description"": ""pick up an alarm clock that is on the desk"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""locale"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""on the desk""
                },
                ""object"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""alarm clock""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""pick up""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 8.67
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -1.27
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 9.47
                    }
                }
            }
        }
    ]
}",1,1,easy,1,0,0
umrf_graph_20.umrfg.json,walk to face the night stand on the right of the bed,12,motion,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaNavigateRobot"",
            ""package_name"": ""ta_navigate_robot"",
            ""description"": ""walk"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""walk""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 0.248
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 3.472
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 1.234
                    }
                }
            }
        }
    ]
}",1,1,easy,1,0,0
umrf_graph_21.umrfg.json,put the clock on the desk,6,object_manipulation,"{
    ""umrf_actions"": [
        {
            ""name"": ""TaPlace"",
            ""package_name"": ""ta_place"",
            ""description"": ""put the clock on the desk"",
            ""id"": 0,
            ""effect"": ""synchronous"",
            ""input_parameters"": {
                ""locale"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""on the desk""
                },
                ""object"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""clock""
                },
                ""verb"": {
                    ""pvf_type"": ""string"",
                    ""pvf_example"": ""put""
                },
                ""pose_2d"": {
                    ""x"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 4.87
                    },
                    ""y"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": 2.56
                    },
                    ""yaw"": {
                        ""pvf_type"": ""number"",
                        ""pvf_value"": -3.19
                    }
                }
            }
        }
    ]
}",1,1,easy,1,0,0
